0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.273,39.528,39.933,43.096,47.578,46.953,77.515,52.706,31.369,34.285,32.154,36.349,35.972,34.071,34.288,31.795,30.696,29.975,27.216,21.08,20.852,0,0,0
43.99,42.643,42.837,44.304,47.483,48.285,67.008,60.538,38.484,42.045,43.928,40.726,38.185,36.474,34.791,34.455,32.583,28.95,27.074,22.778,22.12,15.985,0,0
47.889,47.745,48.557,49.765,50.6,52.403,58.383,65.059,58.163,52.237,47.568,43.408,40.627,38.776,35.546,34.473,32.844,30.093,27.988,26.073,17.453,0,0,0
49.545,48.642,49.713,49.677,51.425,50.964,56.074,57.763,58.255,54.072,47.541,44.102,40.951,38.542,35.867,35.726,32.166,28.103,30.005,22.261,28.912,0,0,0
48.241,48.372,47.518,50.057,51.552,52.381,54.279,53.771,52.016,52.056,47.505,43.411,40.806,38.478,36.989,34.23,32.156,30.488,30.467,27.799,25.462,0,0,0
49.261,49.279,47.634,48.4,48.905,49.699,51.55,51.83,52.219,47.813,45.953,42.946,39.604,36.998,37.593,34.951,32.165,31.12,27.133,30.76,0,0,0,0
47.882,44.535,46.504,45.931,46.913,49.519,49.119,49.969,46.209,44.418,43.301,41.583,39.034,38.951,36.886,35.814,34.509,31.686,27.22,19.503,0,0,0,0
42.273,50.082,46.167,45.094,44.311,45.532,44.873,45.121,43.575,42.016,41.96,39.115,39.137,37.945,39.719,38.322,36.176,33.42,21.874,0,0,0,0,0
36.6,42.339,47.008,48.351,43.232,44.612,45.832,44.617,43.569,40.456,40.456,42.066,39.034,38.807,40.776,34.936,35.192,29.588,17.262,0,0,0,0,0
38.16,41.98,44.473,44.052,46.44,47.242,45.46,43.645,43.246,39.841,40.519,39.396,38.598,36.853,35.624,33.83,33.199,37.002,0,0,0,0,0,0
32.012,37.277,37.999,36.69,45.047,42.253,47.121,43.355,42.468,40.191,42.283,39.013,37.312,35.944,33.145,31.012,14.651,31.416,0,0,0,0,0,0
28.225,26.704,40.091,36.995,43.406,38.598,38.626,39.668,37.59,40.851,39.877,33.406,31.81,36.296,31.49,22.277,27.213,0,0,0,0,0,0,0
24.489,35.704,30.693,29.573,33.26,35.8,36.403,33.531,32.243,40.447,31.436,31.493,32.82,25.489,30.261,42.47,21.954,0,0,0,0,0,0,0
18.8,19.764,16.212,29.596,33.297,46.997,30.706,33.574,39.006,28.513,25.316,27.632,29.772,0,49.153,25.178,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
