0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.32,19.685,18.615,22.515,24.592,32.832,50.192,43.3,26.593,17.285,16.312,16.415,16.665,13.438,13.642,12.653,11.908,11.817,11.23,7.7166,4.3307,0,0,0
21.649,19.963,18.838,20.147,23.977,31.535,43.064,42.647,26.591,23.362,21.116,18.305,15.907,14.609,12.798,13.114,12.288,10.68,10.652,8.0968,6.7464,3.6051,0,0
23.652,23.7,22.698,23.916,24.934,27.968,32.097,35.55,31.3,26.107,22.418,19.439,16.974,14.792,13.534,12.922,12.385,11.436,10.741,10.332,5.3957,0,0,0
24.202,23.729,23.507,22.813,24.562,25.432,26.206,28.78,28.99,26.005,22.047,18.83,16.603,15.065,13.653,14.383,12.263,10.391,12.694,9.4334,16.877,0,0,0
24.385,23.399,21.818,22.385,23.725,23.456,25.295,24.917,24.833,24.312,21.153,17.234,15.179,14.9,14.879,14.072,13.212,13.694,13.229,12.166,6.4369,0,0,0
22.664,24.09,22.854,23.014,22.017,21.639,22.299,21.67,22.317,20.785,18.89,17.045,15.385,15.292,16.204,15.52,14.154,12.892,12.411,12.392,0,0,0,0
22.714,21.141,22.242,21.424,21.686,21.816,22.6,22.042,19.388,19.416,17.06,16.258,15.619,16.322,17.259,16.305,15.962,13.654,10.262,5.627,0,0,0,0
19.144,22.949,21.656,21.825,20.809,21.015,20.332,19.319,19.149,17.097,16.517,15.022,17.024,16.566,18.856,19.131,15.773,14.906,5.9014,0,0,0,0,0
15.308,17.324,21.743,23.012,20.606,21.079,20.596,19.732,18.412,16.483,16.582,18.152,15.5,18.359,19.121,14.209,16.135,13.029,5.6872e-14,0,0,0,0,0
14.98,19.715,21.175,20.232,21.876,20.607,20.352,18.761,17.4,16.237,15.409,17.362,18.461,15.853,15.79,16.429,13.624,16.903,0,0,0,0,0,0
13.884,14.776,15.272,16.096,18.65,16.984,19.481,17.474,17.893,16.947,18.461,15.314,17.592,15.212,13.396,15.207,2.4881e-13,13.46,0,0,0,0,0,0
10.85,8.9536,17.678,14.164,16.682,14.866,14.953,15.896,15.759,17.878,16.721,13.212,12.068,14.843,11.099,6.6611,11.416,0,0,0,0,0,0,0
3.981e-13,12.048,12.841,9.5878,13.712,14.139,14.472,12.702,12.839,19.671,11.256,10.971,15.102,5.0829,13.29,6.1848e-13,8.3489,0,0,0,0,0,0,0
9.9526e-14,1.6706e-13,4.932,11.288,10.679,21.742,10.592,12.445,15.73,12.105,8.8032,9.283,12.098,0,16.444,5.3317e-13,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
